Individual,Species,Temperature,Direction,Day,Date,Photo.low.pre,Photo.mean.pre,Photo.high.pre,Photo.low.post,Photo.mean.post,Photo.high.post,Resp.low,Resp.mean,Resp.high
ALRU31UA,ALRU,31,up,14,9/25/18,72.87972122,181.3065251,291.903474,72.53386955,183.191355,296.4245216,33.70221189,33.82515952,34.02859592
ALRU31UA,ALRU,31,up,28,10/9/18,77.18468306,185.6441015,295.1305602,79.24481946,194.1030912,310.6217451,36.07238621,36.24005563,36.51631732
ALRU31UA,ALRU,31,up,35,10/16/18,84.78275854,212.5762029,343.1173745,83.44789828,212.3278475,345.2680637,32.0274824,32.18523231,32.43768595
ALRU31UA,ALRU,31,up,42,10/23/18,81.2797926,194.0937388,307.8706051,82.5969204,200.2017964,319.3657673,37.43398087,37.59813282,37.82292734
ALRU31UA,ALRU,31,up,49,10/30/18,78.94698465,196.2382582,315.6013603,78.76680865,199.3102372,322.8287265,31.42668099,31.63243295,31.90755186
ALRU31UA,ALRU,31,up,56,11/6/18,85.49186587,209.4036046,335.0273774,84.58553596,210.5601724,339.1690036,35.4744374,35.87323435,36.38097164
ALRU31UA,ALRU,31,up,63,11/13/18,76.40052055,188.428552,302.4808241,78.0222517,195.7766049,315.9290676,34.83084288,35.01517392,35.29007171
ALRU31UA,ALRU,31,up,70,11/20/18,90.01402227,221.2760996,354.5470417,90.3717006,225.5670711,363.6056978,36.21094861,36.39537914,36.64475821
ALRU31UA,ALRU,31,up,77,11/27/18,101.0617235,251.612536,405.3773465,99.11031307,251.9772478,409.1124577,38.48163781,38.6621592,38.90596121
ALRU31UA,ALRU,31,up,84,12/4/18,89.80135802,222.7583961,358.3552514,87.81394332,221.9826924,359.6772604,32.96476943,33.09884382,33.32486594
ALRU31UA,ALRU,31,up,97,12/17/18,107.7539429,265.1455976,425.1695905,104.831548,262.5353041,423.6123278,39.61712565,39.78878144,40.04193514
ALRU31UA,ALRU,31,up,118,1/7/19,102.7993088,255.2582118,410.5141814,101.5712892,255.9954059,414.4660876,42.13787105,42.4228362,42.87118453
ALRU31UA,ALRU,31,up,126,1/15/19,102.3112128,255.2046629,411.5243185,102.2492088,260.3346829,422.9188282,37.89975413,38.12182625,38.42513412
ALRU31UA,ALRU,31,up,139,1/28/19,90.72615031,228.6684595,370.2665629,93.40937675,239.0364474,389.6024343,34.73726453,35.01171707,35.33963018
ALRU31UA,ALRU,31,up,146,2/4/19,91.91882799,218.8164603,346.8938832,91.54547639,222.1397879,354.3760239,38.65256347,38.85793905,39.20413705
ALRU31UA,ALRU,31,up,153,2/11/19,84.4883431,205.791812,328.6135324,82.41180028,204.0580638,327.7762954,35.36771554,35.54354012,35.78704385
ALRU31UA,ALRU,31,up,167,2/25/19,75.91150192,188.0955145,302.2965172,70.13602819,176.0839523,284.3640761,34.78664561,34.93068861,35.17235849
ALRU31UA,ALRU,31,up,175,3/5/19,62.36785899,153.2118435,245.425636,62.31374834,154.4760948,248.3619099,33.40264097,33.52101642,33.71524725
